# Directed graph: ./dataset/polblogs/stage/0.2/3/polblogs.txt 
# Nodes: 1224 Edges: 19090
# FromNodeId	ToNodeId
0	97
0	891
0	260
0	230
0	230
0	1350
0	1446
0	1480
0	1480
0	1086
0	396
0	1295
0	200
0	1330
0	739
0	117
0	214
0	214
0	1470
0	632
0	187
0	924
0	823
0	1054
1	544
1	1249
1	354
1	518
1	230
1	230
1	705
1	236
1	588
1	1261
1	1358
1	1199
1	301
1	1438
1	632
1	1214
1	63
2	128
2	258
2	1292
2	514
2	914
2	920
2	537
2	1308
2	928
2	1444
2	1457
2	1320
2	169
2	1066
2	813
2	1072
2	456
2	184
2	1140
2	954
2	61
2	447
2	192
2	1476
2	967
2	1352
2	972
2	386
2	642
2	728
2	58
2	226
2	1125
2	743
2	874
2	363
2	240
2	754
2	628
2	246
2	1018
2	319
2	508
2	106
2	510
3	1072
6	1320
6	1147
6	202
6	683
6	1200
7	326
7	1158
7	1358
7	1011
7	56
7	155
8	897
8	1476
8	1033
8	171
8	590
8	721
8	1204
8	565
8	1078
8	411
11	449
11	1125
11	326
11	297
11	843
11	1453
11	1453
11	271
11	884
11	1470
11	441
11	90
11	1247
11	381
11	414
11	414
11	63
13	704
13	1216
13	1026
13	795
13	933
13	230
13	230
13	1480
13	1193
13	1006
13	1359
13	1384
13	115
13	820
13	214
13	214
13	377
13	1464
13	308
13	623
13	1093
13	997
15	128
15	386
15	386
15	260
15	393
15	393
15	906
15	906
15	1163
15	1163
15	396
15	642
15	142
15	142
15	792
15	914
15	276
15	919
15	919
15	664
15	380
15	283
15	1054
15	1439
15	928
15	1441
15	677
15	1446
15	1200
15	818
15	822
15	951
15	1467
15	842
15	831
15	1284
15	1221
15	451
15	1092
15	1092
15	581
15	1351
15	1351
15	72
15	1420
15	1420
15	1354
15	332
15	1485
15	721
15	721
15	211
15	213
15	728
15	601
15	601
15	90
15	987
15	987
15	1375
15	483
15	483
15	1154
15	1154
15	1384
15	745
15	1004
15	1004
15	61
15	1266
15	883
15	117
15	376
15	633
15	1343
15	508
16	770
16	777
16	906
16	142
16	915
16	21
16	919
16	623
16	924
16	816
16	1318
16	171
16	1327
16	1200
16	1200
16	946
16	1343
16	1095
16	590
16	721
16	1246
16	111
16	883
16	883
16	628
16	1274
17	128
17	1004
17	171
17	1033
17	906
17	779
17	386
17	401
17	914
17	836
17	155
17	770
17	770
17	33
17	1318
17	420
17	806
17	1095
17	687
17	1343
17	1337
17	699
17	699
17	1469
17	447
17	1090
17	451
17	451
17	1476
17	1476
17	581
17	582
17	1351
17	1351
17	72
17	1460
17	1101
17	846
17	1357
17	80
17	721
17	721
17	85
17	642
17	471
17	856
17	601
17	1114
17	1467
17	1446
17	614
17	616
17	1260
17	494
17	1384
17	1163
17	967
17	1143
17	319
17	319
18	79
19	1152
19	771
19	778
19	712
19	781
19	418
19	275
19	788
19	664
19	1322
19	1181
19	1314
19	548
19	42
19	1069
